name,industries,ratio_orgs,newsapi_totalResults,root_mean_distance,num_orgs,num_non_orgs,num_titlecase,num_articles,org_at_least_once,num_found,num_industries,ratio_case,newsapi_rawResults,avg_article_length
fuck,consumer electronics;electronics;hardware,0,239,2876.28534,1,44,17,16,1,36,40,0.245833333,17041,9299.3125
resolute,software,0.007352941,86,8365.517982,1,24,13,17,1,27,87,0.235294118,3321,16967.76471
resolute forest products,aerospace;space travel,0,0,0,0,0,0,0,0,0,0,0,71,0
apple,life science;biopharma,1.2,66,4986.605541,66,24,52,15,9,54,42,0.916666667,114232,11600.26667
lyft,consumer software,0,0,0,0,0,0,0,0,0,0,0,6012,0
spacex,document management,0,0,0,0,0,0,0,0,0,0,0,10156,0
wework,public transportation,0.009259259,7,4567.721453,2,21,0,6,2,19,11,0,1288,19692.66667
massachusetts institute of technology,brewing,0,7,4844.470968,5,0,0,6,5,6,10,0,2464,18790.5
nvidia,digital entertainment,0.833333333,6,4061.999443,16,12,0,3,3,16,3,0,14291,10313.66667
dropbox,energy storage,0,0,0,0,0,0,0,0,0,0,0,5039,0
kickstarter,product design,0,38,2306.997167,0,40,32,15,0,35,50,0.906666667,7205,12527.8
stripe,lending;energy management;local,0.074295334,575,4979.859707,17,447,167,15,4,241,48,0.669716852,5917,12850.2
doordash,cloud computing,0,4,10042.29643,0,1,0,4,0,4,30,0,311,21060.5
reddit,contact management;air transportation,0,0,0,0,0,0,0,0,0,0,0,18359,0
toutiao,dietary supplements;automotive;animation,0,2,1599.510486,0,4,4,2,0,4,2,1,241,11012.5
robinhood,outdoor advertising,0,0,0,0,0,0,0,0,0,0,0,628,0
siemens ag,cyber security;public transportation,0,17,3456.176652,7,0,0,9,7,13,9,0,669,27385.11111
linkedin,farming,0,124,1921.330165,4,24,1,16,4,29,49,0.03125,29428,13083.8125
zscaler,mobile payments;point of sale,0,0,0,0,0,0,0,0,0,0,0,263,0
ring,hotel,0,2421,5386.550036,0,67,5,16,0,206,111,0.053645833,56268,15173.375
theranos,e-learning,0,0,0,0,0,0,0,0,0,0,0,717,0
nutanix,online auctions;construction,0.094202899,3,3512.576569,13,70,29,2,1,29,2,1,343,14875.5
ourcrowd,project management,0,0,0,0,0,0,0,0,0,0,0,126,0
airtel,meeting software;embedded systems,0,3,4961.755297,8,0,4,2,2,4,2,1,3110,47478.5
ecobee,crm,0,0,0,0,0,0,0,0,0,0,0,325,0
sofi,electric vehicle,0,0,0,0,0,0,0,0,0,0,0,813,0
mayo clinic,digital marketing;digital entertainment,0,3,2779.799655,2,1,3,2,1,3,2,1,2459,15977
rent the runway,ad targeting,0,0,0,0,0,0,0,0,0,0,0,252,0
deliveroo,ride sharing,0,15,3929.278455,0,31,28,14,0,28,16,1,533,12812.21429
uber,file sharing,0.021515679,54,4462.202342,15,462,231,20,5,232,23,0.995454545,30873,11308.25
square,eyewear,0.093911249,109,2218.886574,11,48,31,17,3,43,73,0.428921569,101513,11531.23529
grab,printing;accounting,0.015873016,1753,3170.738045,1,54,26,9,1,43,51,0.457264957,58391,8957
swiggy,flash storage;wellness,0,1,835,0,1,1,1,0,1,1,1,137,9620
airtable,consumer goods;email,0.168826748,30,3899.478989,20,263,134,16,8,141,132,0.808333333,82,10751.375
outdoor voices,security;natural language processing;loyalty programs,0,5,1560.800993,0,4,4,4,0,4,9,1,172,12700.75
virginia tech,homeland security;privacy,0.425770308,109,3861.766828,41,19,43,17,15,45,56,0.985060691,5534,9681.705882
circle,sponsorship,0.279069767,207,5011.671981,11,110,46,18,5,71,95,0.485251323,44709,20696.61111
boston scientific,enterprise software;e-commerce platforms,0,0,0,0,0,0,0,0,0,0,0,586,0
general electric ,content delivery network,0,1,0,0,0,0,0,0,0,0,0,4449,0
mighty,predictive analytics,0,4,4898.5,0,0,2,2,0,2,2,1,15332,40504.5
merck & co,podcast;sales;small and medium businesses,0,34,3689.355435,5,0,37,15,5,37,56,1,122,10170.26667
23andme,data mining;home services,0,1,773,0,1,0,1,0,1,1,0,741,11649
ericsson,aerospace,0,12,9035.034321,84,0,46,10,10,48,25,0.975714286,2303,28352.5
wecash,telecommunications;credit,0.24316272,5,1805.001479,25,68,61,5,3,74,36,0.717826087,8,23378.6
super league gaming,payments,0,0,0,0,0,0,0,0,0,0,0,6,0
q4,consulting;family,0,2341,6470.525074,0,487,99,9,0,99,83,1,25667,20858.11111
lenovo,solar;seo,0.306666667,45,3282.666077,67,10,45,15,15,46,23,0.986666667,8040,12127.2
cloudian,sns;universities;nan,0,2,4015.011986,0,10,4,1,0,4,2,1,79,6831
flatiron health,physical security;predictive analytics,0,5,2307.849831,5,1,6,5,4,6,7,1,131,11850
hqtrivia,insurtech,0,0,0,0,0,0,0,0,0,0,0,74,0
bitmain,secondary education;transaction processing,0,2,294.0493156,0,1,1,1,0,1,2,1,461,14575
soundcloud,search engine;physical security,0,76,6162.898033,0,31,12,18,0,30,39,0.361111111,6363,20195.33333
alibaba,billing,0.411278195,33,2376.214022,120,27,75,19,18,75,29,1,6759,9670.368421
taboola,developer apis,0,0,0,0,0,0,0,0,0,0,0,2854,0
hubspot,geospatial;furniture,0.033844943,14,8628.246953,7,98,9,11,4,51,22,0.401515152,1278,29308.27273
sonos,cloud security,0.131578947,2,2706.027026,5,20,6,2,1,6,2,1,2451,21205.5
moovit,data visualization,0,0,0,0,0,0,0,0,0,0,0,34,0
xiaomi,market research;business travel,0.135250979,124,1621.373475,50,392,166,17,9,167,32,0.994652406,6990,10195.41176
tesla,data visualization;sales automation,0,4,7110.692169,0,24,10,4,0,10,7,1,20484,17640.25
toys r us,facial recognition,0,8,1959.75429,0,2,2,2,0,2,4,1,5315,11116.5
kakao,fintech,0.11,23,3747.859926,20,102,54,15,6,57,77,0.911111111,247,11681.8
ripple,advice;logistics,0.007936508,586,2434.669271,3,220,85,18,1,93,29,0.80043573,11031,9040.611111
zomato,diabetes,0,0,0,0,0,0,0,0,0,0,0,238,0
atlassian,intrusion detection;cloud management,0,1,0,0,0,0,0,0,0,0,0,851,0
novartis,vacation rental,0,0,0,0,0,0,0,0,0,0,0,2508,0
postmates,virtual goods;business intelligence,0,0,0,0,0,0,0,0,0,0,0,595,0
kensho,call center,0,0,0,0,0,0,0,0,0,0,0,119,0
wealthsimple,office administration,0,0,0,0,0,0,0,0,0,0,0,101,0
groupon,customer service;local,0.526573947,544,1442.50264,100,162,84,16,10,97,81,0.907451923,1706,7042.8125
grubhub,green building,0,0,0,0,0,0,0,0,0,0,0,754,0
hna group,advertising platforms;child care;private social networking,0,0,0,0,0,0,0,0,0,0,0,645,0
bank of ireland,industrial automation;content marketing,0,0,0,0,0,0,0,0,0,0,0,649,0
collective health,news;secondary education;quantified self,1.131578947,81,6150.318759,72,40,102,19,7,118,286,0.381578947,162,15977.36842
bugcrowd,collaborative consumption;internet radio,0,0,0,0,0,0,0,0,0,0,0,104,0
urban ladder,homeland security,0,0,0,0,0,0,0,0,0,0,0,34,0
tripactions,ad targeting;market research,0,0,0,0,0,0,0,0,0,0,0,27,0
atom tickets,intrusion detection,0,0,0,0,0,0,0,0,0,0,0,149,0
farfetch,consumer software;web apps,0,0,0,0,0,0,0,0,0,0,0,377,0
netflix,web apps,0.116666667,42,5626.750298,59,15,43,16,16,44,20,0.995192308,47477,16244.75
dollar shave club,travel accommodations,0,0,0,0,0,0,0,0,0,0,0,367,0
palo alto networks,advertising;cloud security;reservations,0.299464556,138,2874.419754,92,230,171,18,12,171,108,1,772,11674.72222
skyroam,pc games;sustainability,0,0,0,0,0,0,0,0,0,0,0,24,0
houzz,market research,0,1,6426,0,1,1,1,0,1,1,1,499,30043
cloudflare,collaborative consumption,0,0,0,0,0,0,0,0,0,0,0,996,0
gopro,publishing,0.003319036,34,11812.75798,3,526,1,16,2,258,37,0.001388889,3925,37338.5
ant financial,property management;private social networking,0,1,1039,1,0,1,1,1,1,1,1,1073,8805
jd finance,battery;skill assessment,0,0,0,0,0,0,0,0,0,0,0,19,0
flipkart,virtual reality;ad server,0.035714286,6,1903.531265,5,23,16,4,2,18,4,0.75,2061,10462
shopify,autonomous vehicles,0.111111111,4,1871.395608,1,11,8,3,1,8,4,1,1434,11415.33333
ihs markit ,civil engineering;clean energy,0,23,1538.104636,0,0,0,10,0,41,23,0,2300,16170.6
solarisbank ag,insurance;govtech,0,0,0,0,0,0,0,0,0,0,0,1,0
mobike,air transportation;search engine;photography,0,6,6642.550593,0,12,6,6,0,8,9,0.833333333,296,18237.5
skydio,public safety;higher education,0,0,0,0,0,0,0,0,0,0,0,131,0
blockchain,mobile,0.026223776,4058,6148.836707,3,114,96,13,3,147,187,0.494761905,30100,14538.07692
penny,app discovery;privacy;delivery,0.221288515,1563,4923.307531,48,88,56,16,3,72,144,0.522395833,15467,14170.4375
biocatch,space travel;advertising platforms,0,0,0,0,0,0,0,0,0,0,0,31,0
buzzfeed,collectibles;psychology,0.180769231,110,2827.114088,32,52,4,15,3,61,34,0.2,12289,11209.53333
giosis,content marketing,0,0,0,0,0,0,0,0,0,0,0,20,0
alibaba group,auto insurance,0,1,0,0,0,0,0,0,0,0,0,2071,0
app annie,a/b testing,2,6,7757.493643,8,4,20,4,4,20,28,1,361,24975.25
qualtrics,photography;delivery service;finance,0,13,8231.478559,1,8,14,11,1,14,45,1,200,33420.72727
nestaway,coupons,0,0,0,0,0,0,0,0,0,0,0,19,0
skype,wellness,0,34,3190.998475,16,2,18,15,13,18,50,1,7246,13374.4
goat,logistics,0.0078125,24,9062.688031,2,52,15,16,1,41,33,0.208333333,7054,28235.125
andrew's dogs,pets,0,0,0,0,0,0,0,0,0,0,0,0,0
twilbo,software;information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
shit,peer to peer,0,18,16468.79046,0,37,3,17,0,40,17,0.022058824,29391,26355.76471
whosit,mobile apps,0,0,0,0,0,0,0,0,0,0,0,3,0
razer,medical,0.147321429,13,4190.573022,17,85,50,12,6,53,18,0.979166667,1855,19927.66667
symantec,application performance management;health care,0.947368421,37,3354.380895,69,7,48,19,18,48,35,1,3848,13364.57895
index,outdoors,0.025,200,6019.766405,2,34,21,16,2,35,40,0.712053571,85529,14793
glassdoor,travel accommodations;facilities support services,0,0,0,0,0,0,0,0,0,0,0,1388,0
alteryx; inc.,test and measurement,0,0,0,0,0,0,0,0,0,0,0,41,0
family pet,call center;car sharing,0,0,0,0,0,0,0,0,0,0,0,319,0
industrious,transaction processing;video chat,0,0,0,0,0,0,0,0,0,0,0,954,0
atomwise,supply chain management;lifestyle;paas,0,2,20354.80567,0,2,2,2,0,2,8,1,41,35423.5
bigbasket,web apps,0,0,0,0,0,0,0,0,0,0,0,174,0
visa,content creators,0,10,4277.744131,0,9,9,8,0,11,12,0.75,23457,19280.375
whoop,employee benefits,0,0,0,0,0,0,0,0,0,0,0,950,0
nigeriannation,freelance,0,0,0,0,0,0,0,0,0,0,0,0,0
anthranilate,insurance,0,0,0,0,0,0,0,0,0,0,0,8,0
theorin,automotive,0,0,0,0,0,0,0,0,0,0,0,1,0
hijackers,real estate,0,10,6315.788713,0,5,0,4,0,5,4,0,711,19517.5
